X,Y,OBJECTID,DAMS00X020,DAM_NAME,OTHER_NAME,NIDID,LONGITUDE,LATITUDE,COUNTY,RIVER,CITY,OWN_NAME,OWN_TYPE,DAM_TYPE,PURPOSES,YR_COMPL,NID_HEIGHT,MAX_STOR,NORMAL_STO,SURF_AREA,DRAIN_AREA,HAZARD,STATE,SYMBOL
-66.201098302592101,18.252202827283558,21,21,COMERIO DAM 2, ,PR00018,-66.2011,18.2522,COMERIO,LA PLATA,TOA ALTA,PREPA (FORMERLY PRWRA),U,CNCB,H,1913,128,1225,0,60,135,H,PR,H
-66.653298451382597,18.271602848437471,22,22,CAONILLAS, ,PR00011,-66.6533,18.2716,UTUADO,CAONILLAS,ARECIBO,PREPA (FORMERLY PRWRA),U,CNPG,HR,1948,239,54970,35182,700,50,H,PR,H
-67.134938607279167,18.301102854278934,23,23,STRUCTURE 3,DAGUEY,PR00073,-67.13494,18.3011,AÑASCO,DAGUEY,AÑASCO,DEPARTMENT OF NATURAL RESOURCES,U,RE,C,1978,50,395,334,7,1,H,PR,C
-67.15269860317845,18.306602871348403,24,24,STRUCTURE 2A,AJIES,PR00072,-67.1527,18.3066,AÑASCO,AJIES,AÑASCO,DEPARTMENT OF NATURAL RESOURCES,U,RE,C,1984,52,104,95,3,0,H,PR,C
-66.014998247225606,18.329002856756425,25,25,LOIZA,CARRAIZO DAM,PR00024,-66.015,18.329,SAN JUAN,RIO GRANDE DE LOIZA,TRUJILLO ALTO,PR AQUEDUCT AND SEWER AUTH,U,CNPG,HS,1954,95,16300,9800,175,208,H,PR,H
-66.661598435450202,18.335002869532456,26,26,DOS BOCAS, ,PR00009,-66.6616,18.335,ARECIBO,RIO GRANDE DE ARECIBO,ARECIBO,PREPA (FORMERLY PRWRA),U,CNPG,H,1942,188,39380,19800,634,170,H,PR,H
-66.231598329818283,18.341602867775073,27,27,LA PLATA, ,PR00017,-66.2316,18.3416,TOA ALTA,LA PLATA,TOA ALTA,PR AQUEDUCT & SEWER AUTH,U,CNPG,S,1974,131,28000,13700,560,181,H,PR,S
-66.052198276353366,18.344602858464921,28,28,LAS CURIAS,RIO PIEDRAS DAM,PR00022,-66.0522,18.3446,RIO PIEDRAS,QUEBRADA LAS CURIAS,CUPEY,PR AQUEDUCT & SEWER AUTH,U,RE,S,1946,75,1425,1120,48,1,H,PR,S
-66.922598506443677,18.400002867152644,29,29,GUAJATACA, ,PR00001,-66.9226,18.4,QUEBRADILLAS,GUAJATACA,TERRANOVA,PREPA (FORMERLY PRWRA),U,RE,IS,1928,120,46655,30055,1000,31,H,PR,I
-155.626704513697007,20.050003438784156,30,30,WAIMEA 60 MG RESERVOIR,WAIMEA RESERVOIR,HI00042,-155.62669,20.05,HAWAII,UPPER HAMAKUA DITCH,WAIMEA,"STATE OF HAWAII, DEPT. OF AGICULTURE",S,RE,I,1957,52,189,176,0,0,H,HI,I
-156.19331448514518,20.875003430516749,31,31,KOLEA RESERVOIR, ,HI00097,-156.1933,20.875,MAUI,KOLEA STREAM,PAIA,EAST MAUI IRRIGATION CO.,S,RE,I,1901,53,34,31,0,0,U,HI,I
-156.261714446784794,20.915003410689245,32,32,KAPALAALAEA RESERVOIR, ,HI00094,-156.2617,20.915,MAUI,PAPALUA STREAM,PAIA,EAST MAUI IRRIGATION CO.,P,RE,I,1885,50,165,150,0,0,U,HI,I
-156.675304442318406,20.979203405162767,33,33,KAHANA DAM,STRUCTURE #5,HI00126,-156.67529,20.9792,MAUI,KAHANA, ,MAUI COUNTY,L,RE,DC,1984,58,225,59,6,4.53,H,HI,D
-157.050014430683888,21.155003443963825,34,34,KUALAPUU RESERVOIR,MOLOKAI RESERVOIR,HI00041,-157.05,21.155,MAUI,TR-KALUA PEELUA GULCH,HOOLEHUA PALAAU HOMESTEADS,"STATE OF HAWAII, DEPT. OF AGICULTURE",S,RE,I,1969,58,5082,3685,95,0,H,HI,I
-157.810014393827061,21.35500339802018,35,35,NUUANU DAM NO. 4,NUUANU RESERVOIR,HI00001,-157.81,21.355,HONOLULU,NUUANU STREAM,HONOLULU,HONOLULU BOARD OF WATER SUPPLY,U,RE,R,1910,73,3600,242,25,2,H,HI,R
-157.806714422749366,21.395003425482191,36,36,KANEOHE DAM, ,HI00124,-157.8067,21.395,HONOLULU,KAMOOALII STREAM,KANEOHE,CITY & COUNTY OF HONOLULU,L,RE,R,1980,82,4500,260,26,3,H,HI,R
-157.985014390334186,21.426703427268574,37,37,RESERVOIR 510, ,HI00037,-157.985,21.4267,HONOLULU,PANAKAUAHI GULCH,PEARL CITY,KAMEHAMEHA SCHOOLS,P,RE,I,1935,57,227,227,12,2,S,HI,I
-157.963314409649911,21.440003416108155,38,38,RESERVOIR 545A, ,HI00039,-157.9633,21.44,HONOLULU,PANAKAUAHI GULCH,CRESTVIEW,KAMEHAMEHA SCHOOLS,P,RE,O,1920,56,140,140,8,0.53,H,HI,O
-158.051714408876194,21.500003434521449,39,39,WAHIAWA DAM,"LAKE WILSON; WILSON RESERVOIR",HI00017,-158.0517,21.5,HONOLULU,KAUKONAHUA STREAM,WAIALUA,DOLE FOODS CO. HAWAII,P,REER,I,1906,98,9200,7761,302,16.9,H,HI,I
-157.983324376315437,21.500003433685624,40,40,KU TREE RESERVOIR, ,HI00025,-157.98331,21.5,HONOLULU,TR-KAUKONAHUA RIVER,N/A,"US ARMY, DEPT. OF DEFENSE",F,RE,O,1925,97,0,900,0,0,U,HI,O
-158.031704392803334,21.530003394724453,41,41,UPPER HALEMANO RESERVOIR, ,HI00022,-158.03169,21.53,HONOLULU,TR-POAMOHO STREAM,WAIALUA,CASTLE & COOKE,P,RE,I,1912,51,700,479,0,0,S,HI,I
-158.030014378784585,21.573303393020801,42,42,OPAEULA 01 RESERVOIR,OPAEULA RESERVOIR,HI00018,-158.03,21.5733,HONOLULU,TR-ANAHULU RIVER,HALEIWA,KAMEHAMEHA SCHOOLS,P,RE,I,1910,71,400,258,0,0,S,HI,I
-159.498324330035956,21.910003404198843,43,43,KAUPALE RESERVOIR, ,HI00108,-159.49831,21.91,KAUAI,TR-LAWAI STREAM,N/A,"A & B PROPERTIES, INC.",P,RE,I,1910,50,240,222,0,0,L,HI,I
-159.496714324468002,21.916703404097106,44,44,AEPO RESERVOIR, ,HI00103,-159.4967,21.9167,KAUAI,UNNAMED GULCH,KUKUIULA,"A & B PROPERTIES, INC.",P,RE,I,1901,74,381,320,13,0,H,HI,I
-159.536714304420002,21.925003384213802,45,45,IPUOLONO RESERVOIR,NO. 8 RESERVOIR,HI00109,-159.5367,21.925,KAUAI,KALAHEO GULCH,KALAHEO,KAUAI COFFEE COMPANY,P,RE,I,1910,50,450,415,0,0,L,HI,I
-159.493314343051424,21.936703393351372,46,46,PIWAI RESERVOIR, ,HI00114,-159.4933,21.9367,KAUAI,POELELELE STREAM,N/A,"A & B PROPERTIES, INC.",P,RE,I,1916,51,261,41,3,0,H,HI,I
-159.526714333237379,21.960003402569988,47,47,ALEXANDER,ALEXANDER RESERVOIR,HI00098,-159.5267,21.96,KAUAI,WAHIAWA STREAM,KALAHEO,KAUAI COFFEE COMPANY,P,RE,IHS,1931,119,2540,1070,31.5,2.86,H,HI,I
-159.600024318235029,21.973303392106239,48,48,WAIKOLOI RESERVOIR, ,HI00008,-159.60001,21.9733,KAUAI,WAIKOLOI STREAM,KAAWANUI,GAY & ROBINSON,P,RE,I,1958,50,147,130,0,0,S,HI,I
-159.398314354059011,22.020003369426583,49,49,KAPAIA RESERVOIR, ,HI00012,-159.3983,22.02,KAUAI,HANAMAULU STREAM,KAPAIA,LIHUE PLANTATION COMPANY,P,RE,I,1910,53,1114,1105,0,0,L,HI,I
-159.681714338870194,22.091703398288754,50,50,PUU LUA RESERVOIR, ,HI00002,-159.6817,22.0917,KAUAI,TR-HAELELE STREAM OFFSTREAM,N/A,"STATE OF HAWAII, DLNR",P,RE,I,1925,110,888,844,0,0,L,HI,I
-159.36502435000321,22.118303373929322,51,51,MIMINO RESERVOIR, ,HI00016,-159.36501,22.1183,KAUAI,MIMINO STREAM,KEALIA,KEALIA PLANTATION,P,RE,I,1920,65,70,51,0,0,S,HI,I
-159.373324330477573,22.135003393086226,52,52,KANEHA RESERVOIR, ,HI00015,-159.37331,22.135,KAUAI,TR-KEALIA STREAM OFFSTREAM,KEALIA,KEALIA PLANTATION,P,RE,I,1910,51,420,356,0,0,S,HI,I
-80.670002836040837,25.760004682116733,53,53,STRUCTURE 333, ,FL00681,-80.67,25.76,DADE,LEVEE 29 BORROW CANAL,MICCOSUKEE INDIAN VILLAGE,SFWMD (PAST C&SF FCD), ,REOT,OS,1978,23,2726900,840000,0,0,L,FL,O
-80.490002769051557,25.760004686161967,54,54,STRUCTURE 336, ,FL00683,-80.49,25.76,DADE,TAMIAMI CANAL (C-4),SWEETWATER,SFWMD (PAST C&SF FCD), ,OT,OS,1978,18,545380,168000,0,0,L,FL,O
-80.82112285985805,25.761754651527241,55,55,STRUCTURE 12A, ,FL00367,-80.82112,25.76175,DADE,SHARK RIVER SLOUGH,US HWY 41 - ENP,CESAJ,F,OT,CS,1962,19,2726900,840000,0,0,H,FL,C
-80.76950286178716,25.76187466553905,56,56,STRUCTURE 12B, ,FL00368,-80.7695,25.76187,DADE,SHARK RIVER SLOUGH,US HWY 41 - ENP,CESAJ,F,OT,CS,1962,19,2726900,840000,0,0,H,FL,C
-80.726922829609308,25.7619446498576,57,57,STRUCTURE 12C, ,FL00369,-80.72692,25.76194,DADE,SHARK RIVER SLOUGH,US HWY 41 - ENP,CESAJ,F,OT,CS,1962,19,2726900,840000,0,0,H,FL,C
-80.681802811863918,25.761964653113196,58,58,STRUCTURE 12D, ,FL00370,-80.6818,25.76196,DADE,SHARK RIVER SLOUGH,US HWY 41 - ENP,CESAJ,F,OT,CS,1962,19,2726900,840000,0,0,H,FL,C
-80.440002757729772,25.940004747147807,59,59,STRUCTURE 337, ,FL00693,-80.44,25.94,DADE,S-31 BYPASS CANAL,NONE,SFWMD (PAST C&SF FCD), ,OT,SI,1979,15,545380,168000,0,0,L,FL,S
-80.450002781014717,25.960004742912606,60,60,STRUCTURE NO. 31, ,FL00384,-80.45,25.96,DADE,MIAMI CANAL (C-6),PENNSUCO,SFWMD (PAST C&SF FCD), ,OT,CI,1963,24,545380,168000,0,0,L,FL,C
-98.335007601934194,26.136704370911069,61,61,ANZALDUAS CHANNEL DAM, ,TX07036,-98.335,26.1367,HIDALGO,RIO GRANDE,HIDALGO,INTERNATIONAL BOUNDARY AND WATER COMMISSION,F,CNRE,I,1960,71,16400,13900,0,0,L,TX,I
-98.334007589275075,26.137004354561046,62,62,ANZALDUAS DIVERSION,NONE,TX83301,-98.334,26.137,HIDALGO,RIO GRANDE,HIDALGO,IBWC,F,CN,IC,1960,23,16400,10340,1287,176112,H,TX,I
-80.440002763119665,26.150004776986499,63,63,STRUCTURE NO. 34, ,FL00352,-80.44,26.15,BROWARD,NORTH NEW RIVER CANAL,ANDYTOWN,SFWMD (PAST C&SF FCD), ,OT,CS,1952,32,180000,214,0,0,L,FL,C
-80.440002763119665,26.150004776986499,64,64,STRUCTURE NO. 141 (SPILLWAY L-38E-1), ,FL00353,-80.44,26.15,BROWARD,NORTH NEW RIVER CANAL,ANDYTOWN,SFWMD (PAST C&SF FCD), ,OT,CI,1961,16,180000,123000,0,0,L,FL,C
-80.440002764017976,26.17000477265093,65,65,STRUCTURE NO. 143 (CULVERT L-35B-1), ,FL00350,-80.44,26.17,BROWARD,NORTH NEW RIVER CANAL,ANDYTOWN,SFWMD (PAST C&SF FCD), ,OT,CI,1961,24,539000,368000,0,0,L,FL,C
-80.451472776959136,26.176664770163569,66,66,STRUCTURE 11A, ,FL00349,-80.45147,26.17666,BROWARD,NONE,NONE-WCA #3A,CESAJ,F,OT,CS,1957,20,539000,368000,0,0,L,FL,C
-80.455292757601939,26.198304798912204,67,67,STRUCTURE 11B, ,FL00348,-80.45529,26.1983,BROWARD,NONE,NONE-WCA #3A,CESAJ,F,OT,CS,1957,19,539000,368000,0,0,L,FL,C
-80.461662749010884,26.229614790278756,68,68,STRUCTURE 11C, ,FL00347,-80.46166,26.22961,BROWARD,NONE,NONE-WCA #3A,CESAJ,F,OT,CS,1960,19,539000,368000,0,0,L,FL,C
-97.89000749326506,26.248304407012,69,69,VALLEY ACRES RESERVOIR, ,TX05975,-97.89,26.2483,HIDALGO,OFF CH-NORTH FLOODWAY,MERCEDES,VALLEY ACRES WATER DISTRICT,L,RE,I,1951,7,7843,7843,906,0,L,TX,I
-80.77000288293894,26.330004829213408,70,70,PUMPING STATION NO. 8, ,FL00343,-80.77,26.33,BROWARD,MIAMI CANAL (C-6),LAKE HARBOR,SFWMD (PAST C&SF FCD), ,OT,C,1962,26,2726900,840000,0,0,L,FL,C
-80.530002777749672,26.330004834849252,71,71,PUMPING STATION NO. 7, ,FL00345,-80.53,26.33,BROWARD,NORTH NEW RIVER CANAL,SOUTH BAY,SFWMD (PAST C&SF FCD), ,OT,CI,1961,41,539000,368000,0,0,L,FL,C
-80.290002721069442,26.350004835443375,72,72,STRUCTURE NO. 39, ,FL00338,-80.29,26.35,PALM BEACH,HILLSBORO CANAL,BOCA RATON DELIMITED AREA,SFWMD (PAST C&SF FCD), ,OT,C,1952,32,430000,300000,0,0,S,FL,C
-80.312412713984642,26.359934825748311,73,73,STRUCTURE NO. 10A, ,FL00337,-80.31241,26.35993,PALM BEACH,HILLSBORO CANAL,NONE-WCA #2A,CESAJ,F,OT,CS,1960,24,430000,300000,0,0,L,FL,C
-80.35232272137273,26.371774853013854,74,74,STRUCTURE NO. 10C, ,FL00336,-80.35232,26.37177,PALM BEACH,HILLSBORO CANAL,NONE-WCA #2A,CESAJ,F,OT,C,1960,25,430000,300000,0,0,L,FL,C
-98.161707600626912,26.38330440313608,75,75,RETAMA RESERVOIR LEVEE,LAKE EDINBURG,TX03793,-98.1617,26.3833,HIDALGO,OFF-CHANNEL,FAYSVILLE,SANTA CRUZ IRRIGATION DISTRICT NO 15,L,RE,I,1935,9,13500,8864,630,0,S,TX,I
-80.381602760086309,26.388804840068804,76,76,STRUCTURE NO. 10D, ,FL00335,-80.3816,26.3888,PALM BEACH,HILLSBORO CANAL,NONE-WCA #2A,CESAJ,F,OT,C,1960,22,430000,300000,0,0,L,FL,C
-97.936707540695693,26.430004449003714,77,77,DELTA LAKE UNIT NO 2 LEVEE,MONTE ALTO RESERVOIR,TX03790,-97.9367,26.43,HIDALGO,OFF-CHANNEL,RAYMONDVILLE,DELTA LAKE IRRIGATION DISTRICT,L,RE,I,1939,16,22545,17788,1227,3.01,S,TX,I
-80.440002772102815,26.470004855720358,78,78,PUMPING STATION NO. 6, ,FL00334,-80.44,26.47,PALM BEACH,HILLSBORO CANAL,BELLE GLADE,SFWMD (PAST C&SF FCD), ,OT,CI,1957,43,430000,300000,0,0,L,FL,C
-80.050002668880794,26.53000490123824,79,79,STRUCTURE NO. 41, ,FL00341,-80.05,26.53,PALM BEACH,C-16 (BOYNTON CANAL),OCEAN RIDGE,SFWMD (PAST C&SF FCD), ,OT,C,1965,26,50000,30000,0,0,S,FL,C
-99.167007824357029,26.559004447158362,80,80,FALCON,NONE,TX00024,-99.167,26.559,STARR,RIO GRANDE,ROMA,IBWC,F,RECN,CIH,1953,175,3177000,2668000,115400,159270,H,TX,C
-80.750092881696503,26.682734909006285,81,81,CULVERT NO. 4A, ,FL00325,-80.75009,26.68273,PALM BEACH,LEVEE D2 BORROW CANAL,SOUTH BAY,CESAJ,F,OT,IS,1933,34,8519000,4596000,0,0,H,FL,I
-80.800002863860541,26.690004899166532,82,82,PUMPING STATION NO. 3, ,FL00327,-80.8,26.69,PALM BEACH,MIAMI CANAL (C-6),LAKE HARBOR,SFWMD (PAST C&SF FCD), ,OT,CI,1957,43,8519000,4596000,0,0,H,FL,C
-80.807372867030267,26.698574886833427,83,83,STRUCTURE 354, ,FL00326,-80.80737,26.69857,PALM BEACH,MIAMI CANAL (C-6),LAKE HARBOR,CESAJ,F,OT,CI,1935,43,8519000,4596000,0,0,H,FL,C
-80.710002854620413,26.700004923282108,84,84,PUMPING STATION NO. 2, ,FL00324,-80.71,26.7,PALM BEACH,NORTH NEW RIVER CANAL,SOUTH BAY,SFWMD (PAST C&SF FCD), ,OT,CS,1956,43,8519000,4596000,0,0,H,FL,C
-80.715342854792567,26.701364925982521,85,85,STRUCTURE 351, ,FL00323,-80.71534,26.70136,PALM BEACH,NORTH NEW RIVER CANAL,SOUTH BAY,CESAJ,F,OT,CI,1935,43,8519000,4596000,0,0,H,FL,C
-80.85000288057222,26.720004916149406,86,86,PUMPING STATION NO. 236, ,FL00678,-80.85,26.72,PALM BEACH,LOCAL DRAINAGE CANAL,LITTLE BARE BEACH,SFWMD (PAST C&SF FCD), ,OT,CI,1978,44,8519000,4596000,0,0,H,FL,C
-81.712603165712963,26.72550491281395,87,87,STRUCTURE 79,W.P. FRANKLIN LOCK & DAM,FL00310,-81.7126,26.7255,LEE,CALOOSAHATCHEE RIVER (C-43),FORT MYERS SHORES DUC AREA,CESAJ,F,REOT,NCSR,1965,31,32266,26404,800,839,H,FL,N
-80.851802882517717,26.727604919478928,88,88,CULVERT NO. 3, ,FL00328,-80.8518,26.7276,PALM BEACH,LEVEE D2 BORROW CANAL,CLEWISTON,CESAJ,F,OT,IS,1933,34,8519000,4596000,0,0,H,FL,I
-80.684382829055465,26.749004926129885,89,89,CULVERT NO. 12, ,FL00322,-80.68438,26.749,PALM BEACH,LEVEE D2 BORROW CANAL,BELLE GLADE,CESAJ,F,OT,IS,1934,34,8519000,4596000,0,0,H,FL,I
-80.910002920568843,26.760004905944456,90,90,STRUCTURE 310 (HURRICANE GATE NO.2), ,FL00312,-80.91,26.76,HENDRY,INDUSTRIAL CANAL,CLEWISTON,SFWMD (PAST C&SF FCD), ,OT,CN,1980,41,8519000,4596000,0,0,H,FL,C
-80.925722935882689,26.764204926532418,91,91,CULVERT NO. 2, ,FL00311,-80.92572,26.7642,HENDRY,C-21 (NINE MILE CANAL STUB),CLEWISTON,CESAJ,F,OT,IS,1934,34,8519000,4596000,0,0,H,FL,I
-80.693692850082456,26.776474934919037,92,92,CULVERT NO. 12A, ,FL00321,-80.69369,26.77647,PALM BEACH,LEVEE D2 BORROW CANAL,PAHOKEE,CESAJ,F,OT,IS,1933,34,8519000,4596000,0,0,H,FL,I
-81.304023026908112,26.788574929033697,93,93,STRUCTURE 78,ORTONA LOCK AND DAM,FL00424,-81.30402,26.78857,GLADES,CALOOSAHATCHEE RIVER (C-43),ORTONA,CESAJ,F,REOT,CS,1937,38,100986,82375,0,0,H,FL,C
-80.695832841006791,26.798204949150222,94,94,CULVERT NO. 10, ,FL00320,-80.69583,26.7982,PALM BEACH,LEVEE D9 BORROW CANAL,PAHOKEE,CESAJ,F,OT,IS,1935,34,8519000,4596000,0,0,H,FL,I
-81.009302925637371,26.81540492378663,95,95,CULVERT NO. 1A, ,FL00309,-81.0093,26.8154,GLADES,LOCAL DRAINAGE CANAL,MOORE HAVEN,CESAJ,F,OT,IS,1935,34,8519000,4596000,0,0,H,FL,I
-81.065632976694161,26.827724954490687,96,96,CULVERT NO. 1, ,FL00308,-81.06563,26.82772,GLADES,LOCAL DRAINAGE CANAL,MOORE HAVEN,CESAJ,F,OT,IS,1934,34,8519000,4596000,0,0,H,FL,I
-81.086392960265158,26.838894934023024,97,97,MOORE HAVEN LOCK, ,FL00306,-81.08639,26.83889,GLADES,CALOOSAHATCHEE RIVER (C-43),MOORE HAVEN,CESAJ,F,OT,CN,1936,44,8519000,4596000,0,0,H,FL,C
-81.085482982153707,26.839384914657405,98,98,STRUCTURE 77, ,FL00307,-81.08548,26.83938,GLADES,CALOOSAHATCHEE RIVER (C-43),MOORE HAVEN,CESAJ,F,OT,CS,1966,51,8519000,4596000,0,0,H,FL,C
-80.629982821861347,26.862794928690402,99,99,STRUCTURE 352, ,FL00319,-80.62998,26.86279,PALM BEACH,LEVEE D9 BORROW CANAL,CANAL POINT,CESAJ,F,OT,CI,1935,0,8519000,4596000,0,0,H,FL,C
-81.121962981038536,26.885264963909826,100,100,CULVERT NO. 5A, ,FL00305,-81.12196,26.88526,GLADES,LOCAL DRAINAGE CANAL,LAKEPORT,CESAJ,F,OT,IS,1934,34,8519000,4596000,0,0,H,FL,I
-80.612302837107777,26.900004980540121,101,101,CULVERT NO. 13, ,FL00318,-80.6123,26.9,PALM BEACH,LEVEE D9 BORROW CANAL,CANAL POINT,CESAJ,F,OT,IS,1935,34,8519000,4596000,0,0,H,FL,I
-80.614202850290496,26.917504946487064,102,102,CULVERT NO. 10-A, ,FL00317,-80.6142,26.9175,PALM BEACH,LEVEE 8 BORROW CANAL,CANAL POINT,CESAJ,F,OT,IS,1933,34,8519000,4596000,0,0,H,FL,I
-81.12174300698166,26.919494933761914,103,103,CULVERT NO. 5, ,FL00304,-81.12174,26.91949,GLADES,LOCAL DRAINAGE CANAL,LAKEPORT,CESAJ,F,OT,IS,1934,34,8519000,4596000,0,0,H,FL,I
-80.613372833019113,26.926494980205639,104,104,CULVERT NO. 14, ,FL00315,-80.61337,26.92649,PALM BEACH,LEVEE D9 BORROW CANAL,PORT MAYACA,CESAJ,F,OT,IS,1935,34,8519000,4596000,0,0,H,FL,I
-80.610702857636696,26.952074953214193,105,105,CULVERT NO. 16, ,FL00314,-80.6107,26.95207,PALM BEACH,LEVEE D9 BORROW CANAL,PORT MAYACA,CESAJ,F,OT,IS,1938,34,8519000,4596000,0,0,H,FL,I
-81.136552996573343,26.965274971987668,106,106,FC-1,FISHEATING CREEK CULVERT,FL30001,-81.13655,26.96527,GLADES,FISHEATING CREEK CANAL,BRIGHTON RESERVATION,CESAJ,F,OT,CS, ,22,8519000,4596000,0,0,H,FL,C
-80.611942848037458,26.965744963222416,107,107,CULVERT NO. 11, ,FL00303,-80.61194,26.96574,MARTIN,LEVEE D9 BORROW CANAL,PORT MAYACA,CESAJ,F,OT,IS,1933,34,8519000,4596000,0,0,H,FL,I
-81.090002992948001,26.970004979375865,108,108,PUMPING STATION 131 AND LOCK, ,FL00302,-81.09,26.97,GLADES,LEVEE 50 BORROW DITCH,CALUSA,SFWMD (PAST C&SF FCD), ,OT,CN,1963,36,8519000,4596000,0,0,H,FL,C
-80.600002808691883,26.980004964737262,109,109,STRUCTURE 153, ,FL00426,-80.6,26.98,MARTIN,LEVEE 65 BORROW CANAL,INDIANTOWN,SFWMD (PAST C&SF FCD), ,REOT,C,1970,36,8519000,4147000,0,0,L,FL,C
